KEMENTERIAN,KEBIJAKAN,KELEMBAGAAN,INFRASTRUKTUR,APLIKASI,PERENCANAAN
Kementerian Keuangan,3.6,3.73,3.67,3.6,3.73
"Kementerian Kebudayaan, Pendidikan Dasar dan Menengah",3.2,3.53,3.53,3.5,3.27
Kementerian Luar Negeri,3.3,3.4,3.23,3.27,3.4
Kementerian Perencanaan Pembangunan Nasional,3.27,3.2,3.33,3.2,3.2
Kementerian Pekerjaan Umum dan Perumahan Rakyat,3.07,3.1,3.43,3.03,3.17
Kementerian Komunikasi dan Informatika,3.15,3.24,3.2,3.28,2.88
Kementerian Kelautan dan Perikanan,3.2,3.07,2.97,3.23,3.07
Kementerian Kesehatan,3.03,3,3.17,3.03,2.83
Kementerian Perhubungan,3.07,3,3.13,2.73,2.87
Kementerian Perdagangan,2.8,2.67,3.07,3.13,2.8